Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1300231	Receive	 15:10:16.467.0	0x1dff1a03	Data	Extend	8	03 01 00 00 ED ED FF FF 
1300232	Receive	 15:10:16.467.0	0x1dff1a03	Data	Extend	8	04 00 00 FF FF FF FF FF 
1300233	Receive	 15:10:16.467.0	0x1dff1b03	Data	Extend	8	60 0A 3F 9F E0 FF 85 00 
1300234	Receive	 15:10:16.467.0	0x1dff1b03	Data	Extend	8	61 2A 00 24 00 FF FF FF 
1300235	Receive	 15:10:16.467.0	0x09fd0219	Data	Extend	8	FF 39 01 8A 27 FA FF FF 
1300236	Receive	 15:10:16.467.0	0x09fd0220	Data	Extend	8	FF 39 01 8A 27 FA FF FF 
1300237	Receive	 15:10:16.467.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
1300238	Receive	 15:10:16.467.0	0x19f21445	Data	Extend	8	45 1E 05 AB FF 78 1E FF 
1300239	Receive	 15:10:16.483.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300240	Receive	 15:10:16.483.0	0x15fd0719	Data	Extend	8	FF C1 25 71 FF FF E2 03 
1300241	Receive	 15:10:16.483.0	0x09f80109	Data	Extend	8	D5 D1 50 1D 45 87 CC FF 
1300242	Receive	 15:10:16.483.0	0x1dff1d03	Data	Extend	8	00 DF 3F 9F 04 12 FF 15 
1300243	Receive	 15:10:16.483.0	0x09f8010c	Data	Extend	8	C0 D1 50 1D 4F 87 CC FF 
